"2013-03-07";"12:13:49";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-03-01";"12:20:26";"F";"2488";"487";"512";"575";"0.049";"11.8"
"2013-03-01";"12:20:26";"SLCE";"";"Light Curve end ";""
"2013-03-01";"12:21:50";"SLCS";"";"Light Curve start ";""
"2013-03-01";"12:21:50";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.003, ETRmPot: 6.885 ) ";""
"2013-03-01";"12:21:50";"REG2";"";"#1: alpha: 0.229, ETRm: 7.930, Ek: 34.634 ";""
"2013-03-01";"12:21:51";"FO";"2489";"176";"707";"0";"0.751";"0.0"
"2013-03-01";"12:22:01";"F";"2490";"257";"688";"15";"0.626";"3.9"
"2013-03-01";"12:22:11";"F";"2491";"437";"659";"44";"0.337";"6.2"
"2013-03-01";"12:22:20";"F";"2492";"516";"634";"91";"0.186";"7.1"
"2013-03-01";"12:22:30";"F";"2493";"525";"600";"141";"0.125";"7.4"
"2013-03-01";"12:22:40";"F";"2494";"518";"568";"211";"0.088";"7.8"
"2013-03-01";"12:22:50";"F";"2495";"499";"534";"290";"0.066";"8.0"
"2013-03-01";"12:23:00";"F";"2496";"479";"502";"426";"0.046";"8.2"
"2013-03-01";"12:23:09";"F";"2497";"456";"474";"575";"0.038";"9.2"
"2013-03-01";"12:23:09";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:14:04";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=18;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"13:14:04";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:14:04";"REG1";"";"#1: alpha: 0.352, ETRm: 7.743, Ek: 22.020   ( beta: 0.007, ETRmPot: 8.515 ) ";""
"2013-03-01";"13:14:04";"REG2";"";"#1: alpha: 0.306, ETRm: 6.897, Ek: 22.524 ";""
"2013-03-01";"13:14:05";"FO";"2499";"139";"388";"0";"0.642";"0.0"
"2013-03-01";"13:14:15";"F";"2500";"144";"379";"15";"0.620";"3.9"
"2013-03-01";"13:14:25";"F";"2501";"219";"361";"41";"0.393";"6.8"
"2013-03-01";"13:14:34";"F";"2502";"268";"339";"86";"0.209";"7.5"
"2013-03-01";"13:14:44";"F";"2503";"276";"318";"134";"0.132";"7.4"
"2013-03-01";"13:14:54";"F";"2504";"272";"297";"199";"0.084";"7.0"
"2013-03-01";"13:15:04";"F";"2505";"263";"281";"272";"0.064";"7.3"
"2013-03-01";"13:15:14";"F";"2506";"254";"266";"397";"0.045";"7.5"
"2013-03-01";"13:15:24";"F";"2507";"243";"248";"537";"0.020";"4.5"
"2013-03-01";"13:15:24";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:17:20";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:17:20";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.001, ETRmPot: 12.743 ) ";""
"2013-03-01";"13:17:20";"REG2";"";"#1: alpha: 0.293, ETRm: 12.894, Ek: 43.990 ";""
"2013-03-01";"13:17:21";"FO";"2508";"128";"469";"0";"0.727";"0.0"
"2013-03-01";"13:17:30";"F";"2509";"147";"472";"15";"0.689";"4.3"
"2013-03-01";"13:17:39";"F";"2510";"204";"449";"41";"0.546";"9.4"
"2013-03-01";"13:17:49";"F";"2511";"264";"402";"86";"0.343";"12.4"
"2013-03-01";"13:17:59";"F";"2512";"267";"343";"134";"0.222";"12.5"
"2013-03-01";"13:18:09";"F";"2513";"247";"295";"199";"0.163";"13.6"
"2013-03-01";"13:18:19";"F";"2514";"225";"253";"272";"0.111";"12.7"
"2013-03-01";"13:18:29";"F";"2515";"208";"223";"397";"0.067";"11.2"
"2013-03-01";"13:18:39";"F";"2516";"189";"202";"537";"0.064";"14.4"
"2013-03-01";"13:18:39";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:21:20";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:21:20";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.003, ETRmPot: 8.883 ) ";""
"2013-03-01";"13:21:20";"REG2";"";"#1: alpha: 0.236, ETRm: 9.863, Ek: 41.721 ";""
"2013-03-01";"13:21:21";"FO";"2517";"157";"577";"0";"0.728";"0.0"
"2013-03-01";"13:21:31";"F";"2518";"190";"571";"15";"0.667";"4.2"
"2013-03-01";"13:21:40";"F";"2519";"318";"548";"41";"0.420";"7.2"
"2013-03-01";"13:21:50";"F";"2520";"405";"530";"86";"0.236";"8.5"
"2013-03-01";"13:22:00";"F";"2521";"427";"509";"134";"0.161";"9.1"
"2013-03-01";"13:22:10";"F";"2522";"430";"484";"199";"0.112";"9.4"
"2013-03-01";"13:22:20";"F";"2523";"420";"463";"272";"0.093";"10.6"
"2013-03-01";"13:22:30";"F";"2524";"410";"438";"397";"0.064";"10.7"
"2013-03-01";"13:22:40";"F";"2525";"396";"415";"537";"0.046";"10.4"
"2013-03-01";"13:22:40";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:23:52";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:23:52";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.004, ETRmPot: 10.561 ) ";""
"2013-03-01";"13:23:52";"REG2";"";"#1: alpha: 0.251, ETRm: 11.862, Ek: 47.308 ";""
"2013-03-01";"13:23:53";"FO";"2526";"138";"602";"0";"0.771";"0.0"
"2013-03-01";"13:24:02";"F";"2527";"179";"598";"15";"0.701";"4.4"
"2013-03-01";"13:24:11";"F";"2528";"301";"590";"41";"0.490";"8.4"
"2013-03-01";"13:24:21";"F";"2529";"413";"572";"86";"0.278";"10.0"
"2013-03-01";"13:24:31";"F";"2530";"445";"552";"134";"0.194";"10.9"
"2013-03-01";"13:24:41";"F";"2531";"450";"524";"199";"0.141";"11.8"
"2013-03-01";"13:24:51";"F";"2532";"444";"498";"272";"0.108";"12.3"
"2013-03-01";"13:25:01";"F";"2533";"434";"467";"397";"0.071";"11.8"
"2013-03-01";"13:25:11";"F";"2534";"416";"442";"537";"0.059";"13.3"
"2013-03-01";"13:25:11";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:27:09";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:27:09";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.004, ETRmPot: 12.032 ) ";""
"2013-03-01";"13:27:09";"REG2";"";"#1: alpha: 0.224, ETRm: 13.263, Ek: 59.262 ";""
"2013-03-01";"13:27:10";"FO";"2535";"130";"519";"0";"0.750";"0.0"
"2013-03-01";"13:27:19";"F";"2536";"158";"514";"15";"0.693";"4.4"
"2013-03-01";"13:27:29";"F";"2537";"254";"500";"41";"0.492";"8.5"
"2013-03-01";"13:27:39";"F";"2538";"339";"478";"86";"0.291";"10.5"
"2013-03-01";"13:27:49";"F";"2539";"352";"445";"134";"0.209";"11.8"
"2013-03-01";"13:27:59";"F";"2540";"353";"419";"199";"0.158";"13.2"
"2013-03-01";"13:28:08";"F";"2541";"345";"393";"272";"0.122";"13.9"
"2013-03-01";"13:28:18";"F";"2542";"340";"370";"397";"0.081";"13.5"
"2013-03-01";"13:28:28";"F";"2543";"326";"348";"537";"0.063";"14.2"
"2013-03-01";"13:28:28";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:29:30";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:29:30";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.001, ETRmPot: 10.568 ) ";""
"2013-03-01";"13:29:30";"REG2";"";"#1: alpha: 0.297, ETRm: 10.896, Ek: 36.714 ";""
"2013-03-01";"13:29:31";"FO";"2544";"145";"493";"0";"0.706";"0.0"
"2013-03-01";"13:29:41";"F";"2545";"158";"493";"15";"0.680";"4.3"
"2013-03-01";"13:29:51";"F";"2546";"241";"485";"41";"0.503";"8.7"
"2013-03-01";"13:30:01";"F";"2547";"330";"470";"86";"0.298";"10.8"
