"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-05";"11:31:03";"F";"73";"606";"703";"38";"13.0";"0.138";"2.2";"~202";"- 4.7";"0.194";"0.021";"0.017"
"2013-09-05";"11:31:13";"F";"74";"637";"688";"58";"13.0";"0.074";"1.8";"~201";"- 4.7";"0.105";"0.049";"0.039"
"2013-09-05";"11:31:23";"F";"75";"650";"679";"86";"13.0";"0.043";"1.6";"~200";"- 4.7";"0.061";"0.064";"0.053"
"2013-09-05";"11:31:33";"F";"76";"651";"668";"117";"13.0";"0.025";"1.2";"~199";"- 4.7";"0.036";"0.084";"0.070"
"2013-09-05";"11:31:42";"F";"77";"649";"655";"170";"13.0";"0.009";"0.6";"~198";"- 4.7";"0.013";"0.107";"0.092"
"2013-09-05";"11:31:52";"F";"78";"638";"638";"228";"13.0";"0.000";"0.0";"~196";"- 4.7";"0.000";"0.137";"0.121"
"2013-09-05";"11:32:02";"F";"79";"624";"622";"337";"13.0";"-";"-";"-";"- 4.7";"-";"-";"-"
"2013-09-05";"11:32:02";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:35:06";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:35:06";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:35:06";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:35:07";"FO";"80";"246";"901";"0";"13.0";"0.727";"0.0";"-";"- 4.7";"-";"-";"-"
"2013-09-05";"11:35:16";"F";"81";"680";"897";"19";"13.0";"0.242";"1.9";"~246";"- 4.6";"0.333";"0.006";"0.004"
"2013-09-05";"11:35:26";"F";"82";"780";"875";"38";"13.0";"0.109";"1.7";"~244";"- 4.6";"0.151";"0.037";"0.030"
"2013-09-05";"11:35:35";"F";"83";"798";"853";"58";"13.0";"0.064";"1.6";"~242";"- 4.6";"0.090";"0.067";"0.056"
"2013-09-05";"11:35:45";"F";"84";"801";"836";"86";"13.0";"0.042";"1.5";"~241";"- 4.6";"0.059";"0.092";"0.078"
"2013-09-05";"11:35:55";"F";"85";"796";"817";"117";"13.0";"0.026";"1.3";"~239";"- 4.6";"0.036";"0.118";"0.103"
"2013-09-05";"11:36:05";"F";"86";"788";"799";"170";"13.0";"0.014";"1.0";"~238";"- 4.6";"0.020";"0.144";"0.128"
"2013-09-05";"11:36:15";"F";"87";"772";"778";"228";"13.0";"0.008";"0.8";"~236";"- 4.6";"0.011";"0.173";"0.158"
"2013-09-05";"11:36:25";"F";"88";"749";"748";"337";"13.0";"-";"-";"-";"- 4.6";"-";"-";"-"
"2013-09-05";"11:36:25";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:38:21";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:38:21";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:38:21";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:38:22";"FO";"89";"204";"685";"0";"13.0";"0.702";"0.0";"-";"- 4.5";"-";"-";"-"
